#
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
# !!! This is an automatically generated file !!!
# !!! D O   N O T   E D I T                   !!!
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#
#
#
# kDATA_TOPQ1
#
DATA_TOPQ1 kDATA_TOPQ1 + kBlack /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279515.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
#AF + + + + /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.smergelm.mc15_13TeV.410011.PowPy6Ev_P2012_sgtop_tchan_l_t.SGTOP1.e3824_a766_a810_r6282_p2516.v10_out.root
tchannel_antitop kSgTop_tChannel_antitop_incl 26.2755 kAzure+5 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.kind.mc15_13TeV.410012.PowPy6Ev_P2012_sgtop_tchan_l_tbar.SGTOP1.e3824_s2608_s2183_r7326_r6282_p2516.v10_out.root
# AF + + + + /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.kind.mc15_13TeV.410012.PowPy6Ev_P2012_sgtop_tchan_l_tbar.SGTOP1.e3824_a766_a810_r6282_p2516.v10_out.root
wtchannel kSgTop_Wt 35.8455 kAzure-3 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.kind.mc15_13TeV.410013.PowPy6Ev_P2012_Wt_t_inc.SGTOP1.e3753_s2608_s2183_r7326_r6282_p2516.v10_out.root
#
# kTtbar
#
ttbar kTtbar 451.664 kRed-4 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.410000.PowPy6Ev_P2012_ttbar_hdamp172p5_l.SGTOP1.e3698_s2608_s2183_r7267_r6282_p2516.v10_out.root
#
# kWenuIncl
#
361300 kWenuIncl 17312.4 kGreen-7 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361300.Sherpa_Wenu_Pt0_70_CVetBVet.SGTOP1.e3651_s2608_s2183_r7326_r6282_p2516.v10_out.root
361301 kWenuIncl 941.067 kGreen-7 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361301.Sherpa_Wenu_Pt0_70_CFilBVet.SGTOP1.e3651_s2586_s2174_r7326_r6282_p2516.v10_out.root
361302 kWenuIncl 1159.92 kGreen-7 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361302.Sherpa_Wenu_Pt0_70_BFil.SGTOP1.e3651_s2586_s2174_r7326_r6282_p2516.v10_out.root
361303 kWenuIncl 418.319 kGreen-7 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361303.Sherpa_Wenu_Pt70_140_CVetBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361304 kWenuIncl 101.16 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361304.Sherpa_Wenu_Pt70_140_CFilBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361305 kWenuIncl 55.3908 kGreen-7 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361305.Sherpa_Wenu_Pt70_140_BFil.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361306 kWenuIncl 55.924 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361306.Sherpa_Wenu_Pt140_280_CVetBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361307 kWenuIncl 16.7641 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361307.Sherpa_Wenu_Pt140_280_CFilBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361308 kWenuIncl 9.21699 kGreen-7 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.smergelm.mc15_13TeV.361308.Sherpa_Wenu_Pt140_280_BFil.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361309 kWenuIncl 3.39979 kGreen-7 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361309.Sherpa_Wenu_Pt280_500_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361310 kWenuIncl 1.15362 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361310.Sherpa_Wenu_Pt280_500_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361311 kWenuIncl 0.685908 kGreen-7 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361311.Sherpa_Wenu_Pt280_500_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361312 kWenuIncl 0.199268 kGreen-7 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361312.Sherpa_Wenu_Pt500_700_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361313 kWenuIncl 0.0752074 kGreen-7 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361313.Sherpa_Wenu_Pt500_700_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361314 kWenuIncl 0.05037 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361314.Sherpa_Wenu_Pt500_700_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361315 kWenuIncl 0.0345688 kGreen-7 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361315.Sherpa_Wenu_Pt700_1000_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361316 kWenuIncl 0.0120259 kGreen-7 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361316.Sherpa_Wenu_Pt700_1000_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361317 kWenuIncl 0.00895839 kGreen-7 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361317.Sherpa_Wenu_Pt700_1000_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361318 kWenuIncl 0.00368909 kGreen-7 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361318.Sherpa_Wenu_Pt1000_2000_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361319 kWenuIncl 0.00143304 kGreen-7 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361319.Sherpa_Wenu_Pt1000_2000_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361320 kWenuIncl 0.00102334 kGreen-7 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361320.Sherpa_Wenu_Pt1000_2000_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361321 kWenuIncl 1.45056e-05 kGreen-7 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361321.Sherpa_Wenu_Pt2000_E_CMS_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361322 kWenuIncl 6.3036e-06 kGreen-7 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361322.Sherpa_Wenu_Pt2000_E_CMS_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361323 kWenuIncl 4.46082e-06 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361323.Sherpa_Wenu_Pt2000_E_CMS_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
#
# kWmunuIncl
#
361324 kWmunuIncl 17312.4 kGreen-7 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361324.Sherpa_Wmunu_Pt0_70_CVetBVet.SGTOP1.e3651_s2608_s2183_r7267_r6282_p2516.v10_out.root
361325 kWmunuIncl 941.067 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361325.Sherpa_Wmunu_Pt0_70_CFilBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361326 kWmunuIncl 1159.92 kGreen-7 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361326.Sherpa_Wmunu_Pt0_70_BFil.SGTOP1.e3651_s2608_s2183_r7267_r6282_p2516.v10_out.root
361327 kWmunuIncl 418.319 kGreen-7 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361327.Sherpa_Wmunu_Pt70_140_CVetBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361328 kWmunuIncl 101.16 kGreen-7 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361328.Sherpa_Wmunu_Pt70_140_CFilBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361329 kWmunuIncl 55.3908 kGreen-7 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361329.Sherpa_Wmunu_Pt70_140_BFil.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361330 kWmunuIncl 55.924 kGreen-7 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361330.Sherpa_Wmunu_Pt140_280_CVetBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361331 kWmunuIncl 16.7641 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361331.Sherpa_Wmunu_Pt140_280_CFilBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361332 kWmunuIncl 9.21699 kGreen-7 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361332.Sherpa_Wmunu_Pt140_280_BFil.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361333 kWmunuIncl 3.39979 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361333.Sherpa_Wmunu_Pt280_500_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361334 kWmunuIncl 1.15362 kGreen-7 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361334.Sherpa_Wmunu_Pt280_500_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361335 kWmunuIncl 0.685908 kGreen-7 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361335.Sherpa_Wmunu_Pt280_500_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361336 kWmunuIncl 0.199268 kGreen-7 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361336.Sherpa_Wmunu_Pt500_700_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361337 kWmunuIncl 0.0752074 kGreen-7 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361337.Sherpa_Wmunu_Pt500_700_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361338 kWmunuIncl 0.05037 kGreen-7 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361338.Sherpa_Wmunu_Pt500_700_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361339 kWmunuIncl 0.0345688 kGreen-7 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361339.Sherpa_Wmunu_Pt700_1000_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361340 kWmunuIncl 0.0120259 kGreen-7 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361340.Sherpa_Wmunu_Pt700_1000_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361341 kWmunuIncl 0.00895839 kGreen-7 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361341.Sherpa_Wmunu_Pt700_1000_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361342 kWmunuIncl 0.00368909 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361342.Sherpa_Wmunu_Pt1000_2000_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361343 kWmunuIncl 0.00143304 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361343.Sherpa_Wmunu_Pt1000_2000_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361344 kWmunuIncl 0.00102334 kGreen-7 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361344.Sherpa_Wmunu_Pt1000_2000_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361345 kWmunuIncl 1.45056e-05 kGreen-7 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361345.Sherpa_Wmunu_Pt2000_E_CMS_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361346 kWmunuIncl 6.3036e-06 kGreen-7 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361346.Sherpa_Wmunu_Pt2000_E_CMS_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361347 kWmunuIncl 4.46082e-06 kGreen-7 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361347.Sherpa_Wmunu_Pt2000_E_CMS_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
#
# kWtaunuIncl
#
